step,train_loss,val_loss,lr,layer,wall_time,peak_vram_gb,phase
0,10.993819,10.995167,0.00000010,layer_0,15.5,1.1381,eval
1,10.996780,nan,0.00000010,layer_0,0.0,1.8623,train
2,10.923141,nan,0.00000020,layer_0,0.2,2.2941,train
3,10.966431,nan,0.00000030,layer_0,0.2,2.2941,train
4,10.949127,nan,0.00000040,layer_0,0.2,2.2941,train
5,10.987907,nan,0.00000050,layer_0,0.2,2.2941,train
6,11.008942,nan,0.00000060,layer_0,0.2,2.2941,train
7,10.984230,nan,0.00000070,layer_0,0.2,2.2941,train
8,10.992119,nan,0.00000080,layer_0,0.2,2.2941,train
9,10.910271,nan,0.00000090,layer_0,0.2,2.2941,train
10,11.055176,nan,0.00000100,layer_0,0.2,2.2941,train
11,10.975624,nan,0.00000110,layer_1,0.2,2.2942,train
12,10.956017,nan,0.00000120,layer_1,0.2,2.3510,train
13,10.909081,nan,0.00000130,layer_1,0.2,2.3510,train
14,10.931778,nan,0.00000140,layer_1,0.2,2.3510,train
15,10.959030,nan,0.00000150,layer_1,0.2,2.3510,train
16,10.924309,nan,0.00000160,layer_1,0.2,2.3510,train
17,10.892014,nan,0.00000170,layer_1,0.2,2.3510,train
18,10.886841,nan,0.00000180,layer_1,0.2,2.3510,train
19,10.864525,nan,0.00000190,layer_1,0.2,2.3510,train
20,10.887253,nan,0.00000200,layer_1,0.2,2.3510,train
21,10.883789,nan,0.00000210,layer_2,0.2,2.3514,train
22,10.860809,nan,0.00000220,layer_2,0.2,2.4088,train
23,10.867485,nan,0.00000230,layer_2,0.2,2.4088,train
24,10.815659,nan,0.00000240,layer_2,0.2,2.4099,train
25,10.764664,nan,0.00000250,layer_2,0.2,2.4099,train
26,10.830025,nan,0.00000260,layer_2,0.2,2.4099,train
27,10.769234,nan,0.00000270,layer_2,0.2,2.4099,train
28,10.765739,nan,0.00000280,layer_2,0.2,2.4099,train
29,10.746445,nan,0.00000290,layer_2,0.2,2.4099,train
30,10.624458,nan,0.00000300,layer_2,0.2,2.4099,train
31,10.708664,nan,0.00000310,layer_3,0.2,2.4099,train
32,10.724911,nan,0.00000320,layer_3,0.2,2.4654,train
33,10.659454,nan,0.00000330,layer_3,0.2,2.4654,train
34,10.580532,nan,0.00000340,layer_3,0.2,2.4654,train
35,10.924026,nan,0.00000350,layer_3,0.2,2.4654,train
36,10.619019,nan,0.00000360,layer_3,0.2,2.4654,train
37,10.594318,nan,0.00000370,layer_3,0.2,2.4654,train
38,10.674583,nan,0.00000380,layer_3,0.2,2.4654,train
39,10.586578,nan,0.00000390,layer_3,0.2,2.4654,train
40,10.648945,nan,0.00000400,layer_3,0.2,2.4654,train
41,10.576172,nan,0.00000410,layer_4,0.2,2.4654,train
42,10.568180,nan,0.00000420,layer_4,0.2,2.5220,train
43,10.540951,nan,0.00000430,layer_4,0.2,2.5223,train
44,10.472118,nan,0.00000440,layer_4,0.2,2.5223,train
45,10.493725,nan,0.00000450,layer_4,0.2,2.5223,train
46,10.600529,nan,0.00000460,layer_4,0.2,2.5223,train
47,10.457748,nan,0.00000470,layer_4,0.2,2.5223,train
48,10.480431,nan,0.00000480,layer_4,0.2,2.5223,train
49,10.524174,nan,0.00000490,layer_4,0.2,2.5223,train
50,10.478893,nan,0.00000500,layer_4,0.2,2.5223,train
51,10.480778,nan,0.00000509,layer_5,0.2,2.5232,train
52,10.394253,nan,0.00000519,layer_5,0.2,2.5796,train
53,10.421345,nan,0.00000529,layer_5,0.2,2.5796,train
54,10.376595,nan,0.00000539,layer_5,0.2,2.5796,train
55,10.298218,nan,0.00000549,layer_5,0.2,2.5796,train
56,10.290680,nan,0.00000559,layer_5,0.2,2.5796,train
57,10.251335,nan,0.00000569,layer_5,0.2,2.5796,train
58,10.331161,nan,0.00000579,layer_5,0.2,2.5796,train
59,10.294571,nan,0.00000589,layer_5,0.2,2.5796,train
60,10.206326,nan,0.00000599,layer_5,0.2,2.5796,train
61,10.225147,nan,0.00000609,layer_6,0.2,2.5796,train
62,10.402187,nan,0.00000619,layer_6,0.2,2.6345,train
63,10.230339,nan,0.00000629,layer_6,0.2,2.6345,train
64,10.290668,nan,0.00000639,layer_6,0.2,2.6345,train
65,10.169579,nan,0.00000649,layer_6,0.2,2.6345,train
66,10.103966,nan,0.00000659,layer_6,0.2,2.6345,train
67,10.070251,nan,0.00000669,layer_6,0.2,2.6345,train
68,10.108318,nan,0.00000679,layer_6,0.2,2.6345,train
69,10.187874,nan,0.00000689,layer_6,0.2,2.6345,train
70,10.157059,nan,0.00000699,layer_6,0.2,2.6345,train
71,10.382061,nan,0.00000709,layer_7,0.2,2.6345,train
72,10.126740,nan,0.00000719,layer_7,0.2,2.6898,train
73,9.979713,nan,0.00000729,layer_7,0.2,2.6901,train
74,10.005455,nan,0.00000739,layer_7,0.2,2.6914,train
75,10.035480,nan,0.00000749,layer_7,0.2,2.6936,train
76,10.066143,nan,0.00000759,layer_7,0.2,2.6936,train
77,10.434780,nan,0.00000769,layer_7,0.2,2.6936,train
78,10.073189,nan,0.00000779,layer_7,0.2,2.6936,train
79,9.875782,nan,0.00000789,layer_7,0.2,2.6936,train
80,9.931808,nan,0.00000799,layer_7,0.2,2.6936,train
81,10.067066,nan,0.00000809,layer_8,0.2,2.6936,train
82,9.895077,nan,0.00000819,layer_8,0.2,2.7450,train
83,10.003025,nan,0.00000829,layer_8,0.2,2.7450,train
84,9.993553,nan,0.00000839,layer_8,0.2,2.7450,train
85,9.819965,nan,0.00000849,layer_8,0.2,2.7450,train
86,9.758625,nan,0.00000859,layer_8,0.2,2.7450,train
87,9.724812,nan,0.00000869,layer_8,0.2,2.7450,train
88,9.983315,nan,0.00000879,layer_8,0.2,2.7450,train
89,9.779285,nan,0.00000889,layer_8,0.2,2.7450,train
90,9.820354,nan,0.00000899,layer_8,0.2,2.7450,train
91,9.778637,nan,0.00000909,layer_9,0.2,2.7450,train
92,9.745152,nan,0.00000919,layer_9,0.2,2.8040,train
93,9.784889,nan,0.00000929,layer_9,0.2,2.8040,train
94,9.684048,nan,0.00000939,layer_9,0.2,2.8040,train
95,9.489388,nan,0.00000949,layer_9,0.2,2.8040,train
96,9.528522,nan,0.00000959,layer_9,0.2,2.8040,train
97,9.518291,nan,0.00000969,layer_9,0.2,2.8040,train
98,9.632278,nan,0.00000979,layer_9,0.2,2.8040,train
99,9.546410,nan,0.00000989,layer_9,0.2,2.8040,train
100,9.880466,nan,0.00000999,layer_9,0.2,2.8040,train
101,9.675091,nan,0.00001009,layer_10,0.2,2.8053,train
102,9.567951,nan,0.00001019,layer_10,0.2,2.8626,train
103,9.634083,nan,0.00001029,layer_10,0.2,2.8626,train
104,9.592617,nan,0.00001039,layer_10,0.2,2.8626,train
105,9.625347,nan,0.00001049,layer_10,0.2,2.8626,train
106,9.614494,nan,0.00001059,layer_10,0.2,2.8626,train
107,9.611832,nan,0.00001069,layer_10,0.2,2.8626,train
108,9.550262,nan,0.00001079,layer_10,0.2,2.8626,train
109,9.552059,nan,0.00001089,layer_10,0.2,2.8626,train
110,9.513889,nan,0.00001099,layer_10,0.2,2.8626,train
111,9.487793,nan,0.00001109,layer_11,0.2,2.8629,train
112,9.937527,nan,0.00001119,layer_11,0.2,2.8629,train
113,9.175465,nan,0.00001129,layer_11,0.2,2.8629,train
114,9.404594,nan,0.00001139,layer_11,0.2,2.8629,train
115,9.539494,nan,0.00001149,layer_11,0.2,2.8629,train
116,9.499413,nan,0.00001159,layer_11,0.2,2.8629,train
117,9.486931,nan,0.00001169,layer_11,0.2,2.8629,train
118,9.333809,nan,0.00001179,layer_11,0.2,2.8629,train
119,9.482750,nan,0.00001189,layer_11,0.2,2.8629,train
120,9.378178,nan,0.00001199,layer_11,0.2,2.8629,train
121,9.448696,nan,0.00001209,layer_0,0.2,3.1986,train
122,9.520981,nan,0.00001219,layer_0,0.2,3.1986,train
123,9.786015,nan,0.00001229,layer_0,0.2,3.1986,train
124,9.419003,nan,0.00001239,layer_0,0.2,3.1986,train
125,9.355331,nan,0.00001249,layer_0,0.2,3.1986,train
126,9.702522,nan,0.00001259,layer_0,0.2,3.1986,train
127,9.400284,nan,0.00001269,layer_0,0.2,3.1986,train
128,9.334969,nan,0.00001279,layer_0,0.2,3.1986,train
129,9.286968,nan,0.00001289,layer_0,0.2,3.1986,train
130,9.360065,nan,0.00001299,layer_0,0.2,3.1986,train
131,9.189426,nan,0.00001309,layer_1,0.2,3.1999,train
132,9.169847,nan,0.00001319,layer_1,0.2,3.1999,train
133,9.311264,nan,0.00001329,layer_1,0.2,3.1999,train
134,9.102819,nan,0.00001339,layer_1,0.2,3.1999,train
135,9.410664,nan,0.00001349,layer_1,0.2,3.1999,train
136,9.097004,nan,0.00001359,layer_1,0.2,3.1999,train
137,9.180586,nan,0.00001369,layer_1,0.2,3.1999,train
138,9.274223,nan,0.00001379,layer_1,0.2,3.1999,train
139,9.216347,nan,0.00001389,layer_1,0.2,3.1999,train
140,9.165966,nan,0.00001399,layer_1,0.2,3.1999,train
141,9.085403,nan,0.00001409,layer_2,0.2,3.1999,train
142,9.227112,nan,0.00001419,layer_2,0.2,3.1999,train
143,9.165001,nan,0.00001429,layer_2,0.2,3.1999,train
144,9.345587,nan,0.00001439,layer_2,0.2,3.1999,train
145,8.941271,nan,0.00001449,layer_2,0.2,3.1999,train
146,9.106668,nan,0.00001459,layer_2,0.2,3.1999,train
147,9.311295,nan,0.00001469,layer_2,0.2,3.1999,train
148,9.043236,nan,0.00001479,layer_2,0.2,3.1999,train
149,9.021288,nan,0.00001489,layer_2,0.2,3.1999,train
150,8.866753,nan,0.00001499,layer_2,0.2,3.1999,train
151,9.068977,nan,0.00001508,layer_3,0.2,3.1999,train
152,8.889427,nan,0.00001518,layer_3,0.2,3.1999,train
153,9.011913,nan,0.00001528,layer_3,0.2,3.1999,train
154,8.908611,nan,0.00001538,layer_3,0.2,3.1999,train
155,9.057894,nan,0.00001548,layer_3,0.2,3.1999,train
156,9.063471,nan,0.00001558,layer_3,0.2,3.1999,train
157,9.269091,nan,0.00001568,layer_3,0.2,3.1999,train
158,8.895010,nan,0.00001578,layer_3,0.2,3.1999,train
159,8.919060,nan,0.00001588,layer_3,0.2,3.1999,train
160,8.956057,nan,0.00001598,layer_3,0.2,3.1999,train
161,8.901985,nan,0.00001608,layer_4,0.2,3.1999,train
162,8.783617,nan,0.00001618,layer_4,0.2,3.1999,train
163,9.175287,nan,0.00001628,layer_4,0.2,3.1999,train
164,8.750460,nan,0.00001638,layer_4,0.2,3.1999,train
165,8.470249,nan,0.00001648,layer_4,0.2,3.1999,train
166,8.810015,nan,0.00001658,layer_4,0.2,3.1999,train
167,8.807270,nan,0.00001668,layer_4,0.2,3.1999,train
168,8.900879,nan,0.00001678,layer_4,0.2,3.1999,train
169,8.754648,nan,0.00001688,layer_4,0.2,3.1999,train
170,9.718685,nan,0.00001698,layer_4,0.2,3.1999,train
171,9.546873,nan,0.00001708,layer_5,0.2,3.1999,train
172,9.010054,nan,0.00001718,layer_5,0.2,3.1999,train
173,8.666365,nan,0.00001728,layer_5,0.2,3.1999,train
174,8.679398,nan,0.00001738,layer_5,0.2,3.1999,train
175,8.755627,nan,0.00001748,layer_5,0.2,3.1999,train
176,8.437384,nan,0.00001758,layer_5,0.2,3.1999,train
177,8.767044,nan,0.00001768,layer_5,0.2,3.1999,train
178,8.646088,nan,0.00001778,layer_5,0.2,3.1999,train
179,9.094671,nan,0.00001788,layer_5,0.2,3.1999,train
180,8.806639,nan,0.00001798,layer_5,0.2,3.1999,train
181,8.710310,nan,0.00001808,layer_6,0.2,3.1999,train
182,8.694057,nan,0.00001818,layer_6,0.2,3.1999,train
183,8.654047,nan,0.00001828,layer_6,0.2,3.1999,train
184,8.635006,nan,0.00001838,layer_6,0.2,3.1999,train
185,8.782604,nan,0.00001848,layer_6,0.2,3.1999,train
186,8.761448,nan,0.00001858,layer_6,0.2,3.1999,train
187,8.437384,nan,0.00001868,layer_6,0.2,3.1999,train
188,8.855757,nan,0.00001878,layer_6,0.2,3.1999,train
189,8.428495,nan,0.00001888,layer_6,0.2,3.1999,train
190,8.823164,nan,0.00001898,layer_6,0.2,3.1999,train
191,8.314613,nan,0.00001908,layer_7,0.2,3.1999,train
192,8.312050,nan,0.00001918,layer_7,0.2,3.1999,train
193,8.309048,nan,0.00001928,layer_7,0.2,3.1999,train
194,8.300400,nan,0.00001938,layer_7,0.2,3.1999,train
195,8.536276,nan,0.00001948,layer_7,0.2,3.1999,train
196,8.667509,nan,0.00001958,layer_7,0.2,3.1999,train
197,8.383234,nan,0.00001968,layer_7,0.2,3.1999,train
198,8.448137,nan,0.00001978,layer_7,0.2,3.1999,train
199,8.152035,nan,0.00001988,layer_7,0.2,3.1999,train
200,8.722889,nan,0.00001998,layer_7,0.2,3.1999,train
201,8.328548,nan,0.00002008,layer_8,0.2,3.1999,train
202,8.343990,nan,0.00002018,layer_8,0.2,3.1999,train
203,8.232950,nan,0.00002028,layer_8,0.2,3.1999,train
204,8.399284,nan,0.00002038,layer_8,0.2,3.1999,train
205,8.630404,nan,0.00002048,layer_8,0.2,3.1999,train
206,8.337650,nan,0.00002058,layer_8,0.2,3.1999,train
207,8.540562,nan,0.00002068,layer_8,0.2,3.1999,train
208,8.348955,nan,0.00002078,layer_8,0.2,3.1999,train
209,8.358057,nan,0.00002088,layer_8,0.2,3.1999,train
210,8.346548,nan,0.00002098,layer_8,0.2,3.1999,train
211,8.187145,nan,0.00002108,layer_9,0.2,3.1999,train
212,8.558575,nan,0.00002118,layer_9,0.2,3.1999,train
213,8.239231,nan,0.00002128,layer_9,0.2,3.1999,train
214,8.399313,nan,0.00002138,layer_9,0.2,3.1999,train
